<<<<<<< HEAD
ticker,sector,industry,market_cap,size,momentum,volatility,value,quality,liquidity
AAPL,Technology,Consumer Electronics,3813817974784,3.189550427701101,-0.15206881224915747,0.10096628898599465,-0.9577298458753385,2.926095651332303,2.3236529013443996
MSFT,Technology,Software - Infrastructure,3195174125568,3.0418076963858773,-0.3058745060522576,-0.490747302836432,-0.6174851511571849,0.14770499478111465,1.5532414654811797
GOOGL,Communication Services,Internet Content & Information,4093897080832,3.2487066956360757,1.277243955813336,0.09834222229522702,-0.7083081375186,0.16917693495410133,1.975997736938707
GOOG,Communication Services,Internet Content & Information,4086677897216,3.247233386991332,1.2510694774299667,0.06229920941681165,-0.7087980510154755,0.16917693495410133,1.58312335513444
META,Communication Services,Internet Content & Information,1812426522624,2.568522093443865,-0.30951056726153275,0.8074173267439502,-0.6247443035680753,0.06350031471957225,1.1991766088531648
NVDA,Technology,Semiconductors,4653442400256,3.355647158325619,1.0957884898756993,1.23715457370296,-0.9367276826354468,1.6271777186157959,3.5731284286244835
AVGO,Technology,Semiconductors,1570783887360,2.4490754194618565,0.8873964240156765,1.8105433392784291,-0.4310058473340356,0.07992358071918247,1.6704233462083973
CSCO,Technology,Communication Equipment,309449719808,1.0929861059200652,0.40905840966453333,-0.6570019196896579,-0.5194135717270792,-0.09505516690629447,1.4627445204212108
ADBE,Technology,Software - Application,122754449408,0.32116300553389016,-1.2625763983467748,0.06398256417994215,-0.7043552930433614,0.574203060396341,-0.04232696245544727
CRM,Technology,Software - Application,202100080640,0.7373529841467045,-1.3777720490125855,0.22493033026331535,-0.03018825476218283,-0.302556036338407,0.5847011409579442
ORCL,Technology,Software - Infrastructure,472859738112,1.4469251626357433,-0.4766535959868319,2.6966950172379405,-0.8120857398711883,0.8499517240935005,1.3278959524278917
ACN,Technology,Information Technology Services,163493429248,0.5603929474073556,-1.2079741968495388,-0.10765956621854345,-0.3929884006549974,-0.042379061885322374,-0.052121040899392665
IBM,Technology,Information Technology Services,286683299840,1.0291961646523087,0.17020741901975986,-0.16083819714979802,-0.6459147462970093,0.16325648949070112,0.11108696095183955
INTC,Technology,Semiconductors,232125956096,0.852980929406409,3.1408055438607523,3.5854053481839583,0.6047957741325425,-0.5491483339769992,2.9421435957124724
AMD,Technology,Semiconductors,385406271488,1.276216980582262,2.245428667684676,2.7957498902726856,-0.5004161563704455,-0.44178883586843604,2.2216277204752766
TXN,Technology,Semiconductors,195853697024,0.711145757986977,0.10375449402361425,0.9568777884173905,-0.746392763714417,0.06167550738628231,0.5171229950719187
QCOM,Technology,Semiconductors,162352889856,0.554549238024497,-0.684793403627936,0.7366274596553095,-0.5911531695728681,-0.07636102955858996,0.6717119206619876
