,Country,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Discretionary Distribution & Retail,Consumer Durables & Apparel,Consumer Services,Consumer Staples Distribution & Retail,Energy,Financial Services,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,Media & Entertainment,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate Management & Development,Semiconductors & Semiconductor Equipment,Software & Services,Technology Hardware & Equipment,Telecommunication Services,Transportation,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
2024-03-27,0.0030827421151383835,0.010717871788356523,0.0009134563827143246,0.002776512861257973,0.00833881833032261,-0.0024386177899944307,0.00555775361441258,0.010737932249904665,0.011159629530730327,-0.0076333929815642675,0.0005843257447437854,0.0022525266099231002,0.005428268016672944,0.003912616143673535,0.0025016655053054673,0.0003785012950231081,0.009555491374798993,0.019998521834667007,0.013420211794762844,-0.005794338153385032,0.0031373691118462017,0.0047085429277969265,0.010527752070481728,0.007286483733111479,-0.015946590145206385,8.978074266564924e-06,0.0008312668460631192,-0.001268167863486462,-0.00407866251986405,0.0015241002894484834,0.0006707367117216656,0.0033225301393274057,0.0032184687481759005,-0.0008011702282446499,-0.0011956214903432916
2024-03-28,-0.0008251776949545484,0.009809401258931214,-0.007902918951928463,-0.0006849235865169594,0.001345112556712669,0.0049487357093013105,0.00031158804169328333,-0.0051692381609361885,-0.014731962142844328,-0.010895838535843198,-0.0016450378962280336,0.0021739989805574854,0.004149127694616464,0.009331399609797012,-0.003220272878810119,-0.0026796571801202054,-0.002273630969591472,0.005155262896011478,0.0011930909222418672,-0.00025812579788292883,0.0030705339639359058,0.007194908240564868,-0.01238182897442143,-0.003992592817433054,0.005468270620276484,-0.00019771223937558948,-0.0025645613056591815,0.0006301611812241877,-0.0014344348333097797,-0.002165771366642254,0.0007891204943391569,0.0010433769052794212,0.0020781521877970364,0.0004950629064112259,0.001709897057525386
2024-03-29,0.007043390013199563,-0.005278336909630036,0.005291428846601516,-0.00151998022220737,0.019239872798926402,-0.0020099252006453875,-0.001641869006539834,-0.0003755507530020458,0.005921842618426955,0.013705521941114827,0.0033395020743758,0.008192120472470414,0.004897177460011438,-0.0006968127572625086,-0.0024733106859107182,-0.00044879698156789766,0.004037995548572522,0.005465001702297078,-0.0015514634476771734,-0.00021369378948327597,-0.0026225458175369045,-0.003289091889883016,0.011369491609535225,-9.83248959627334e-05,-0.003688430262178628,0.0004984353075933921,0.003963301419999565,0.0028390662297262522,-0.00020442757979962953,-0.00017862774917720874,0.0011887196366344188,-0.0011131468174840834,-0.0004969732510374882,-0.00014585695162441502,-0.0006192575123963089
2024-04-01,-0.0026397191511851967,-0.0022363743886903496,-0.002679767965085487,-0.003287342818753679,0.005671392659418655,0.0009356576081829576,-0.003460745440531308,-0.005528507026588886,0.008184123541548922,0.031794891069723566,0.006307958726395583,-0.004376562645026983,0.013238385865158743,0.0010549498608027768,0.013742794965223605,0.0014102312113475303,-0.014941675251422846,0.00022236640643575725,0.009500252201167262,-0.0008744100982718963,-0.013874890002080562,-0.003606899264867055,0.007375712523669571,-0.009360157148128547,0.002300148666325489,-0.0012272492797807206,-0.00101924111133088,-0.0021875370684964496,0.004108721609147672,0.003554059057301569,-0.0005039275717292096,0.0007537650480162338,-0.0012895619964660438,0.001994671029167333,-0.00034015713812903805
2024-04-02,0.009958066476504103,0.0008917282526815428,-0.009474044843001595,-8.738237623158713e-05,0.001802105147634782,-0.003362883294267678,0.0025401209347090427,0.0016789732119487004,0.001079639242163086,0.0036115764789215743,0.0018851692564024324,-0.006244437226359769,0.004267625285904649,-2.5435379983046208e-05,-0.004937220222022122,0.0022230546163991643,-0.0013138083219921468,0.012181677004152989,0.0020161507021434996,0.0006360306528182038,0.012264142400293745,0.004267029574829379,-0.011935011765268807,-0.006215839923144707,0.006570225155717748,0.000632847203968346,-0.00027640369373749404,0.0038354918603771453,-0.005763159960608094,-0.002892357073919649,0.0002319653929212569,0.0022959867992616836,0.00016165663548356696,0.0017402790113132086,-0.00011615794015540923
2024-04-03,-0.004234285502455493,0.00017974252998388763,-0.0037180486414943015,-0.0030092456987528085,0.007385477630343963,-0.00029850195962739454,0.00026147341098089533,-0.009475723878016727,0.0003133680151494304,0.009170864484211824,-0.001559470179767739,0.0005021880481383476,-0.0006234977582166986,0.0034245134852075626,0.0006533836260194165,0.00393569268118445,0.00822566178170806,0.02086955039943052,-0.005285932994696527,-0.00017545080306950142,-0.010052880251386035,0.0007174811612026453,-0.0017100074020580758,-0.005960708756893642,-0.0037931770540121723,-0.0016681494219071156,0.000385874311097412,0.0038686501133182905,0.0037363536432782354,0.0004505365793768538,7.91126677351053e-05,-0.002717493980035447,0.0005041804710819811,0.0013118908697428112,0.0007013661162710569
2024-04-08,0.002583511928138559,0.003094101195935857,0.009129516891011068,0.007432472588452182,-0.0018086572885875542,0.005036962384593781,-0.0008686485601805386,-0.00219875216580333,0.009138135078944664,0.015135105779704238,0.006631468567876945,-0.00027689631134984234,0.011770972916686861,-0.0035198001640579747,-0.0012937020465530263,0.0071740660556206155,0.0008396019421418609,0.010253440858151969,0.022657364356355965,-0.007827505112649152,0.001502509895834105,0.0026920028113880745,0.014505717530652284,0.005218191377798715,-0.0025384653805469084,-0.0014866249657276304,0.002427087663142447,0.0023593203935723056,-0.0036585093547574234,1.9773903097553105e-05,0.0011027235927754063,0.0018726273003847574,0.0013831942126380826,-0.0013010678043652033,0.0014177764775087716
2024-04-09,0.012615332132351333,-0.0004243090856674331,-0.0010679446199165661,0.013697936967928814,0.01924031104400539,0.0011090026062763245,0.006670563239600329,0.006829641980640281,0.005406225734252472,0.0033090276009469714,0.002464380651634295,0.00478167970133488,-0.01134240571121582,-0.0024572492928667832,0.006390544019654714,0.004797586103141428,0.001094254820611648,0.0009630190771388915,0.010061741032811034,-0.0019751235186115136,0.010527461683991966,-0.006176076685275297,-0.004441185943431864,0.014610592761750326,0.010627721485968742,-0.0001093648113638444,0.007930209022854545,-0.003180486597492347,-0.0007229712631814242,-0.00026145571662368933,0.0014938825499215226,-0.00019763646310864996,-0.0014286093173983864,0.0005766982210883863,0.0012514951226084733
2024-04-10,-0.0012223650902043585,-0.005854754994207094,-0.004299669039941665,-0.00719502704711221,-0.0075403233927357005,-0.0009074442804590132,-0.008731691676625386,-0.005102444800695677,0.0037216492766346805,0.005514981570134606,-0.005447814558535022,-0.01056610112903201,-0.010244055257793032,-0.010003388787450168,-0.00432580090530323,-0.006396043537379528,-0.01682917349601427,0.005062515633125643,0.008813892140276247,0.009108375589866278,-0.002816572709113168,-0.00907620189810659,-0.001566922871197669,-0.006099868445143528,-0.010916243693914954,-0.0018052974149812126,-0.00408041632990722,0.0004053368142892732,-0.0011497458889057712,0.000537639313585758,7.535208173296354e-05,0.0009958546857137865,-0.0013289630477603307,6.468850067548473e-05,-0.00024292024165267117
2024-04-11,-0.0018649904681025268,-0.0002851255170484685,5.0277249663281626e-05,-0.005975119362899564,-0.0026472788529144815,-0.0013370667363515336,0.004481744764156201,0.02359745261882935,0.0014464952259626842,-0.0066679110078541794,-0.0005675475886959272,-0.005209770696872882,-0.0023707498507298487,-0.005540475835494152,-0.0032940786786286305,-0.007737980058123167,0.008654348905437677,-0.003209289782645055,0.007629748787598316,0.002675997667175465,-0.006554782949000791,-0.001811580957587539,-0.00020937650337585982,0.011911439965278565,-0.011029006090562479,0.0012947282127937676,-0.003305183067939797,0.004697759171364516,-0.0005175591743633782,-0.00032021587955834667,4.734667579410851e-05,-0.0012389955088034986,0.0006181172305845721,0.00018348195596382924,-1.220387435893813e-05
2024-04-12,-0.0010638994053178087,0.008749813736806793,0.0017043257462296213,0.015621662539095695,0.02235909084747023,-0.003836446345581806,0.004863996600823118,0.006247816063814858,0.0006637094443644496,0.0027085012618731476,-0.0006035263195347026,0.002734449858612816,-0.004831078872668484,-0.00232389085876574,0.013081072402035975,0.00161392770188963,0.006247399139333786,-0.012845930980437707,-0.00048227058902569885,-0.004467469559938687,0.005044549022963078,-0.002705411939235154,0.007171900025141227,0.007296323743918108,-0.00020248506158937785,-0.00023230861039163716,0.001085520787839541,0.00427681350636719,0.002662294418762394,0.0024813900635791597,0.00047828301659797714,0.0012882392976200831,-0.0007095850531543028,0.001144206535350441,-0.00024933221637144464
2024-04-15,-0.016848819402918012,0.006812403630152571,0.0002753949414057231,0.0024917174532388163,-0.012588597030124646,-0.001390269274351685,0.0035302065913096247,0.0037091966101432975,0.004011651016462537,0.01930104105380521,0.0008545159992769862,-0.00360624955846019,-0.004942465829684803,-0.009817420926210341,-0.002749454998872052,0.005183605703986504,-0.009588126698405837,-0.008152960148389864,0.004011871337883329,0.001429827027799656,-0.010077580910208581,-0.005472824879593569,0.00278790495436545,-0.0033940026645085694,-0.0009521592404961551,-0.0003024334119345383,-0.007434360388998728,0.0008360138407584994,-0.0027311041629815448,0.000253204119604137,0.0013458292767456286,-0.0012335185614104362,0.0015219448811599966,0.00046617800256510073,0.002110221362034959
