,Country,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Discretionary Distribution & Retail,Consumer Durables & Apparel,Consumer Services,Consumer Staples Distribution & Retail,Energy,Equity Real Estate Investment Trusts (REITs),Financial Services,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,Media,Media & Entertainment,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate Management & Development,Semiconductors & Semiconductor Equipment,Software & Services,Technology Hardware & Equipment,Telecommunication Services,Transportation,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
2006-03-30,-0.002631026469713035,-0.0030453871462789396,-0.005229848271686694,0.0007701749090308711,0.003946286521492634,-0.00046930412688693117,-0.010003098485416884,0.007697390942320987,-0.0044396993277739105,0.004009017695994722,-0.011987109817813094,0.003259177717837174,-0.0022417161435024794,0.0005824060061115799,0.004191820447735568,0.0005390872086567994,0.007184237592692954,1.8196946627738754e-17,-0.0007176217017705526,-0.0010184779718305636,0.0012211449960783884,0.006083663690392839,0.00989931710298411,0.005515261292113456,-0.010648888475116476,-0.0016958580360768513,-0.005863525238197786,-0.0001935231639801961,-6.058678229445806e-18,2.158973754971413e-18,0.001064989539566429,0.00012965158215863914,0.00016701052329257826,-0.0008248642923389759,0.0004659950172268483,0.0010508045410411472,0.00030814318549602515
2006-03-31,-0.0035285064671650695,-0.008795597234268804,0.0022949691190285635,0.0018113399691421284,0.005599218438373386,0.0017381771687506199,-0.005278192119937076,0.0018391335191881553,-0.0025200239302112853,-0.012053759247146693,0.005178277992504702,0.005576612868104917,0.002590194393840712,0.000185908793649252,-0.0020262438754122176,0.000640563939603301,-0.005541523076865763,4.9756865424701854e-17,0.0025305615042870238,-0.0007913636914365517,-0.018861690599767916,-0.005537816693330795,0.004304062311477405,0.0016297879009652776,0.0003632545801988076,0.015190990052672243,-0.004857739482139156,-0.0021132187610200634,1.72022896079351e-17,-2.4755062603395724e-17,0.000572234514712608,-0.000437044274005837,-0.0013882617312394115,-0.0016794729149551579,0.0004974962202064688,0.0005331522408576478,-0.0006120434402291245
2006-04-03,0.0005683932907400498,-0.015515403015663315,5.819955247960776e-05,0.0038517859632594548,0.0013738398996234731,-0.010716729073726557,-0.004897282950762823,-0.0016627899257190307,-0.008797273567126854,0.005571356347149583,-0.018596190503712924,-0.003166500841865858,0.002874350167111618,-0.006700611784358934,0.0019638045243719087,-0.0019738851684734985,0.008546708454579954,-5.620211433924384e-17,0.0043967389259421735,-0.006039658995135191,-0.015523226533317717,0.01092110199672879,0.004441899693643069,0.002047758439641519,0.0025589959914161867,0.005469277306705062,0.0018927714432384827,0.002078412842914638,-4.674230576888639e-18,3.3002425782971843e-18,-0.0034525492429475424,0.0017987397053517752,0.0010543588714949476,0.0007374148176639959,0.0005984039772568174,0.0006211669772825377,-0.0004287861304463349
2006-04-04,0.00776252413518456,-0.011716793686076367,0.007932340779714598,-0.00031157938359455877,0.0008124179606458701,0.0019175791552846952,-0.00582025832855278,0.0025204576395072417,-0.004478112076532878,0.0008058829122230542,-0.01046263777313734,0.004313313955895123,-0.002281041279709663,-0.0052052960574215995,-0.003743750279587658,0.001257677711787583,-0.0012458116592518403,2.069887132275702e-19,-0.0008620485224576319,-0.00431325394657445,-0.0031251414737587194,-0.011093158136811944,-0.0032409509489935945,-0.015449139641419304,-0.0008946488216537425,0.0018922228900258005,0.007743545026297307,0.0007437046552355146,4.223109648073959e-18,8.041151011816893e-19,0.002006739476856605,-0.0005052306574899149,0.0006487881592641625,0.001971159562110422,-0.00013985368246679258,0.000542234505913822,0.00031636420837493555
2006-04-05,0.0045988053219151,-0.011338159162765078,-0.000850044522058934,-0.0011888667764240182,-0.0028434184308087345,0.003150189020321616,0.006932406863952114,-0.0037823681496263178,0.002065353336973704,0.00953465741190782,0.0028988273758100203,-0.0070201313738685435,-0.0020137689408001908,-0.005233259055600551,-0.009322727810726591,0.001041559286813258,0.005178684853037389,-8.505052234914766e-18,-0.0028863769854004543,-0.006775992861393925,0.005172248151603371,0.006683104465204521,-0.003484757302935564,0.004692903044891124,-0.001944205585395102,0.001336611062045177,0.00712554213098871,0.0005358099384130549,-6.855445495384916e-18,3.1896771553332235e-18,0.0018679503521841123,0.00036529611827747926,-0.0006994860364462252,0.001623731329468671,0.0007869856440964823,-5.9738776028826854e-05,0.0003536760075238705
2006-04-06,-0.0014993390966399189,-0.00045676686814902256,-0.0021551364505361845,-0.0008944856490950069,-2.0760413830221807e-05,0.007823685500955947,0.001974962743362574,0.009192511972882728,0.0038210944144561297,0.003624274075114668,0.0039890280364257204,0.002543125090942147,-0.001498016038947178,-0.0004871951095836051,-0.0009262795551126551,-0.001333052819733482,0.004714248515981197,-1.4447485127985366e-17,0.010136395768613112,-0.013564721387858508,0.020044201277583936,0.0025157160881379426,-0.003401822212934065,0.006384580638404789,-0.0049686978593626125,0.00547436603684763,-0.01149951700730224,0.0008646823742651939,1.0273133115194671e-18,-9.397528776817759e-19,0.001748453013889247,0.0004386516570408896,0.00047188730380418606,0.000992068363082527,0.00022671262044877578,-0.0017441379619803164,-0.0006088285207116828
2006-04-07,-0.01080874704459989,0.01288830097174692,0.0019246467879936566,0.0029800464601662,0.0005145655189440096,-0.0015288292263966382,0.006314780754019915,0.010705579047399145,-0.001517114833276188,-0.006248078767955455,-0.0024726908178759194,0.005221994546679266,-0.001159899880528543,-0.0012739621143499588,0.0040217094825890235,-0.004532104978803275,-0.007450310778297753,4.166143152097748e-17,0.004536234473447215,0.00042136971548759327,0.006085763414161069,-0.0011347270308201462,0.00039940607328968887,6.681981198513581e-05,0.004075834913971728,0.004621769595182327,-0.00524684434471488,-0.00097730269701255,-5.505493405274549e-18,-8.380541457489748e-18,-0.003625662400945186,-0.000395530202450808,-0.000730027669871513,-0.00034012275454823996,0.00022209126212743995,0.0013489814599661751,-0.0010274761227154873
2006-04-10,0.0010132793643107681,-0.0040961676052461,0.003925887798284335,-0.0006630948570818658,-0.0017166617525615783,-0.0071505548916825385,-0.00510678413264522,-0.005314090385909964,-0.007411031684042448,0.015169777621503516,-0.005852935407485687,-0.001565079480893887,0.0013532831510412186,-0.006089893583112657,0.001504253894791901,-0.000712221990548443,-0.001620597789865855,6.716296997556053e-17,0.00155943973446544,-0.0019303643877846772,-0.011466015814293988,-0.010993145535893232,-0.0011627189583585447,-0.01403342512895336,0.000816595959781947,-0.00921329122350107,0.004069872449962304,0.0010497495018714205,-1.3785442415386589e-18,-2.386621268361047e-18,0.0002620105035086557,-0.00013988498663953107,-3.208990982513738e-05,0.0012998991811827326,-1.6351424849797097e-05,0.0007964971351663165,-0.0004818836339934685
2006-04-11,-0.008812821245460756,-0.010990487042086682,0.00031543074607984646,0.0018949498632150007,0.006419079224789893,-0.0013496333977273407,0.0028755386626787,0.000859654281028745,-0.0006220845524625282,0.0010987993065007997,0.0033201164884190198,-0.003982715961997094,0.001849513352095562,-0.005215362653367111,-0.0016281542736514213,-0.0014918049150990766,-0.00014634119586651742,-1.2442480702915674e-16,0.002922373154948488,-0.004112687395250997,0.01639026922935184,0.0015649569636617346,0.0026620840255585213,0.008295892616695527,0.001174961165617795,0.001441626268234742,-0.002344847623799156,0.0014438723219500108,-1.5424620081113486e-18,-5.296913209118884e-18,-0.002773505316980596,0.0011643325500993265,-0.0004499877385403509,4.9530475387831316e-05,0.0005000174883741732,0.0010174631282726053,-0.00011393472641886101
2006-04-12,0.002037465945602543,-0.013569667115996234,0.00025596750814404844,0.005325054002260152,0.0012459468221571257,-0.002023188899833005,-0.009974885877111213,0.005907434699824534,0.003563386211888719,-0.011322850303886718,-0.00322786380321486,-0.00042585823207866606,0.0005970134134779652,0.008072797303292042,0.001316317321069595,0.0018380714994486334,0.0024134144550054548,2.636742223868127e-17,-0.004373266160916966,0.0036632690846622024,0.0002564744611962171,0.0045551633110212965,0.0009287575853388082,-0.005163708478515375,-0.001448094366012386,-0.000662462554064919,0.0008927863343678806,-0.0009831795747996135,-2.108633820183196e-18,-8.693260325772726e-19,0.0038838874209390327,-0.0007101258685779272,0.0008867069957146747,-0.0004063035806968636,-0.0004955793209653193,-0.00047036128028224336,0.0005542324592236858
