ticker,shares,date,price,position_value,weight
AMKR,78160,2025-12-19,40.38999938964844,3156882.352294922,0.05405971008667506
GOOG,9349,2025-12-19,308.6099853515625,2885194.753051758,0.049407223484330465
BABA,17924,2025-12-19,149.7899932861328,2684835.8396606445,0.04597619769290974
TSEM,22276,2025-12-19,119.16000366210938,2654408.2415771484,0.045455143390765125
ASX,158821,2025-12-19,15.15999984741211,2407726.3357658386,0.0412308642369685
SNPS,5374,2025-12-19,463.7300109863281,2492085.0790405273,0.04267545693817914
AMAT,9246,2025-12-19,256.4100036621094,2370766.8938598633,0.040597956041023266
META,3675,2025-12-19,658.77001953125,2420979.8217773438,0.041457822207353084
SITM,6153,2025-12-19,366.6099853515625,2255751.239868164,0.038628382196847354
FICO,999,2025-12-19,1748.4300537109375,1746681.6236572266,0.029910871439345666
MTSI,10220,2025-12-19,174.4199981689453,1782572.381286621,0.030525479060318845
FORM,32212,2025-12-19,56.970001220703125,1835117.679321289,0.031425285661001036
CC,137577,2025-12-19,11.819999694824219,1626160.0980148315,0.027847012857255885
TCEHY,22134,2025-12-19,78.80999755859375,1744380.485961914,0.02987146584141843
VRT,10173,2025-12-19,159.82000732421875,1625848.9345092773,0.027841684369519375
DDOG,10293,2025-12-19,140.38999938964844,1445034.2637176514,0.02474534196850876
BIDU,10809,2025-12-19,123.81999969482422,1338370.376701355,0.022918787106675838
SANM,8182,2025-12-19,151.52000427246094,1239736.6749572754,0.02122974433408588
IOT,31598,2025-12-19,38.189998626708984,1206727.5766067505,0.020664483393729744
TEL,5217,2025-12-19,229.97999572753906,1199805.6377105713,0.02054594935659874
AKAM,13577,2025-12-19,89.220001220703125,1211339.9565734863,0.020743467624367944
AMD,5359,2025-12-19,213.42999267578125,1143771.3307495117,0.019586395578162705
WULF,76971,2025-12-19,12.520000457763672,963676.9552345276,0.016502387800203137
MPWR,1158,2025-12-19,937.1099853515625,1085173.3630371094,0.01858294065248327
ALAB,7129,2025-12-19,164.39999389648438,1172007.556488037,0.020069923947934526
FSLY,100554,2025-12-19,10.229999542236328,1028667.3739700317,0.017615309601897427
IDCC,2538,2025-12-19,334.3999938964844,848707.1845092773,0.01453359967934703
SONY,29990,2025-12-19,25.399999618530273,761745.9885597229,0.013044441542552368
TIC,985510,2025-12-19,10.210000038146973,10062057.137594223,0.17230667190954166
